CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*36+*10x2/*56,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*58,,CYP2D6 Indeterminate,none
*36+*10x2/*59,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*60,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*61,,CYP2D6 Indeterminate,none
*36+*10x2/*62,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*63,,CYP2D6 Indeterminate,none
*36+*10x2/*64,,CYP2D6 Indeterminate,none
*36+*10x2/*65,,CYP2D6 Indeterminate,none
*36+*10x2/*68,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*68+*2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*68+*4,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*69,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*70,,CYP2D6 Indeterminate,none
*36+*10x2/*71,,CYP2D6 Indeterminate,none
*36+*10x2/*72,,CYP2D6 Indeterminate,none
*36+*10x2/*73,,CYP2D6 Indeterminate,none
*36+*10x2/*74,,CYP2D6 Indeterminate,none
*36+*10x2/*75,,CYP2D6 Indeterminate,none
*36+*10x2/*81,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*82,,CYP2D6 Indeterminate,none
*36+*10x2/*83,,CYP2D6 Indeterminate,none
*36+*10x2/*84,,CYP2D6 Indeterminate,none
*36+*10x2/*85,,CYP2D6 Indeterminate,none
*36+*10x2/*86,,CYP2D6 Indeterminate,none
*36+*10x2/*87,,CYP2D6 Indeterminate,none
*36+*10x2/*88,,CYP2D6 Indeterminate,none
*36+*10x2/*89,,CYP2D6 Indeterminate,none
*36+*10x2/*90,,CYP2D6 Indeterminate,none
*36+*10x2/*91,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*92,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*93,,CYP2D6 Indeterminate,none
*36+*10x2/*94,,CYP2D6 Indeterminate,none
*36+*10x2/*95,,CYP2D6 Indeterminate,none
*36+*10x2/*96,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*97,,CYP2D6 Indeterminate,none
*36+*10x2/*98,,CYP2D6 Indeterminate,none
*36+*10x2/*99,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*100,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*101,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*102,,CYP2D6 Indeterminate,none
*36+*10x2/*103,,CYP2D6 Indeterminate,none
*36+*10x2/*104,,CYP2D6 Indeterminate,none
*36+*10x2/*105,,CYP2D6 Indeterminate,none
*36+*10x2/*106,,CYP2D6 Indeterminate,none
*36+*10x2/*107,,CYP2D6 Indeterminate,none
*36+*10x2/*108,,CYP2D6 Indeterminate,none
*36+*10x2/*109,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*110,,CYP2D6 Indeterminate,none
*36+*10x2/*111,,CYP2D6 Indeterminate,none
*36+*10x2/*112,,CYP2D6 Indeterminate,none
*36+*10x2/*113,,CYP2D6 Indeterminate,none
*36+*10x2/*114,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*115,,CYP2D6 Indeterminate,none
*36+*10x2/*116,,CYP2D6 Indeterminate,none
*36+*10x2/*117,,CYP2D6 Indeterminate,none
*36+*10x2/*118,,CYP2D6 Indeterminate,none
*36+*10x2/*119,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*120,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
