CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*3/*100,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*101,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*102,,CYP2D6 Indeterminate,none
*3/*103,,CYP2D6 Indeterminate,none
*3/*104,,CYP2D6 Indeterminate,none
*3/*105,,CYP2D6 Indeterminate,none
*3/*106,,CYP2D6 Indeterminate,none
*3/*107,,CYP2D6 Indeterminate,none
*3/*108,,CYP2D6 Indeterminate,none
*3/*109,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*110,,CYP2D6 Indeterminate,none
*3/*111,,CYP2D6 Indeterminate,none
*3/*112,,CYP2D6 Indeterminate,none
*3/*113,,CYP2D6 Indeterminate,none
*3/*114,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*115,,CYP2D6 Indeterminate,none
*3/*116,,CYP2D6 Indeterminate,none
*3/*117,,CYP2D6 Indeterminate,none
*3/*118,,CYP2D6 Indeterminate,none
*3/*119,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*121,,CYP2D6 Indeterminate,none
*3/*122,,CYP2D6 Indeterminate,none
*3/*123,,CYP2D6 Indeterminate,none
*3/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*125,,CYP2D6 Indeterminate,none
*3/*126,,CYP2D6 Indeterminate,none
*3/*127,,CYP2D6 Indeterminate,none
*3/*128,,CYP2D6 Indeterminate,none
*3/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*130,,CYP2D6 Indeterminate,none
*3/*131,,CYP2D6 Indeterminate,none
*3/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*133,,CYP2D6 Indeterminate,none
*3/*134,,CYP2D6 Indeterminate,none
*3/*135,,CYP2D6 Indeterminate,none
*3/*136,,CYP2D6 Indeterminate,none
*3/*137,,CYP2D6 Indeterminate,none
*3/*138,,CYP2D6 Indeterminate,none
*3/*139,,CYP2D6 Indeterminate,none
*3/*140,,CYP2D6 Indeterminate,none
*3/*141,,CYP2D6 Indeterminate,none
*3/*142,,CYP2D6 Indeterminate,none
*3/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*145,,CYP2D6 Indeterminate,none
*3/*146,,CYP2D6 Indeterminate,none
*3/*146x2,,CYP2D6 Indeterminate,none
*3/*147,,CYP2D6 Indeterminate,none
*3/*148,,CYP2D6 Indeterminate,none
*3/*149,,CYP2D6 Indeterminate,none
*3/*152,,CYP2D6 Indeterminate,none
*3/*153,,CYP2D6 Indeterminate,none
*3/*154,,CYP2D6 Indeterminate,none
*3/*155,,CYP2D6 Indeterminate,none
*3/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*157,,CYP2D6 Indeterminate,none
*3/*158,,CYP2D6 Indeterminate,none
*3/*159,,CYP2D6 Indeterminate,none
*3/*160,,CYP2D6 Indeterminate,none
*3/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*162,,CYP2D6 Indeterminate,none
*3/*163,,CYP2D6 Indeterminate,none
*3x2/*3x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*4x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*4x≥3,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*5,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*6,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*6x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*7,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*8,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*9,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*9x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*11,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*12,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*13,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*13+*1,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*13+*1x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3x2/*13+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*13+*68x2+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*14,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*15,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*17,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*17x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*18,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*19,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*20,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*21,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*22,,CYP2D6 Indeterminate,none
*3x2/*23,,CYP2D6 Indeterminate,none
*3x2/*24,,CYP2D6 Indeterminate,none
*3x2/*25,,CYP2D6 Indeterminate,none
*3x2/*26,,CYP2D6 Indeterminate,none
*3x2/*27,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*27x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3x2/*28,,CYP2D6 Indeterminate,none
*3x2/*28x2,,CYP2D6 Indeterminate,none
*3x2/*29,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*29x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*30,,CYP2D6 Indeterminate,none
*3x2/*31,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*32,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*33,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*34,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*35,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*35x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3x2/*36,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*36+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*36+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*36x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*36x2+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*36x2+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*37,,CYP2D6 Indeterminate,none
*3x2/*38,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*39,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*40,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*41,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*41x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*41x3,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*42,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*43,,CYP2D6 Indeterminate,none
*3x2/*43x2,,CYP2D6 Indeterminate,none
*3x2/*44,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*45,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*45x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*3x2/*46,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*47,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*48,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*49,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*50,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*51,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*52,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*53,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*54,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*55,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*56,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*58,,CYP2D6 Indeterminate,none
*3x2/*59,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*60,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*61,,CYP2D6 Indeterminate,none
*3x2/*62,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*63,,CYP2D6 Indeterminate,none
*3x2/*64,,CYP2D6 Indeterminate,none
*3x2/*65,,CYP2D6 Indeterminate,none
*3x2/*68,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*68+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*68+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*69,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*70,,CYP2D6 Indeterminate,none
*3x2/*71,,CYP2D6 Indeterminate,none
*3x2/*72,,CYP2D6 Indeterminate,none
*3x2/*73,,CYP2D6 Indeterminate,none
*3x2/*74,,CYP2D6 Indeterminate,none
*3x2/*75,,CYP2D6 Indeterminate,none
*3x2/*81,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*82,,CYP2D6 Indeterminate,none
*3x2/*83,,CYP2D6 Indeterminate,none
*3x2/*84,,CYP2D6 Indeterminate,none
*3x2/*85,,CYP2D6 Indeterminate,none
*3x2/*86,,CYP2D6 Indeterminate,none
*3x2/*87,,CYP2D6 Indeterminate,none
*3x2/*88,,CYP2D6 Indeterminate,none
*3x2/*89,,CYP2D6 Indeterminate,none
*3x2/*90,,CYP2D6 Indeterminate,none
*3x2/*91,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*92,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*93,,CYP2D6 Indeterminate,none
*3x2/*94,,CYP2D6 Indeterminate,none
*3x2/*95,,CYP2D6 Indeterminate,none
*3x2/*96,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*97,,CYP2D6 Indeterminate,none
*3x2/*98,,CYP2D6 Indeterminate,none
*3x2/*99,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*100,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*101,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*102,,CYP2D6 Indeterminate,none
*3x2/*103,,CYP2D6 Indeterminate,none
*3x2/*104,,CYP2D6 Indeterminate,none
*3x2/*105,,CYP2D6 Indeterminate,none
*3x2/*106,,CYP2D6 Indeterminate,none
*3x2/*107,,CYP2D6 Indeterminate,none
*3x2/*108,,CYP2D6 Indeterminate,none
*3x2/*109,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*110,,CYP2D6 Indeterminate,none
*3x2/*111,,CYP2D6 Indeterminate,none
*3x2/*112,,CYP2D6 Indeterminate,none
*3x2/*113,,CYP2D6 Indeterminate,none
*3x2/*114,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*115,,CYP2D6 Indeterminate,none
*3x2/*116,,CYP2D6 Indeterminate,none
*3x2/*117,,CYP2D6 Indeterminate,none
*3x2/*118,,CYP2D6 Indeterminate,none
*3x2/*119,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*121,,CYP2D6 Indeterminate,none
*3x2/*122,,CYP2D6 Indeterminate,none
*3x2/*123,,CYP2D6 Indeterminate,none
*3x2/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*125,,CYP2D6 Indeterminate,none
*3x2/*126,,CYP2D6 Indeterminate,none
*3x2/*127,,CYP2D6 Indeterminate,none
*3x2/*128,,CYP2D6 Indeterminate,none
*3x2/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*130,,CYP2D6 Indeterminate,none
*3x2/*131,,CYP2D6 Indeterminate,none
*3x2/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*3x2/*133,,CYP2D6 Indeterminate,none
*3x2/*134,,CYP2D6 Indeterminate,none
*3x2/*135,,CYP2D6 Indeterminate,none
*3x2/*136,,CYP2D6 Indeterminate,none
*3x2/*137,,CYP2D6 Indeterminate,none
*3x2/*138,,CYP2D6 Indeterminate,none
*3x2/*139,,CYP2D6 Indeterminate,none
*3x2/*140,,CYP2D6 Indeterminate,none
*3x2/*141,,CYP2D6 Indeterminate,none
*3x2/*142,,CYP2D6 Indeterminate,none
*3x2/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*145,,CYP2D6 Indeterminate,none
*3x2/*146,,CYP2D6 Indeterminate,none
*3x2/*146x2,,CYP2D6 Indeterminate,none
*3x2/*147,,CYP2D6 Indeterminate,none
*3x2/*148,,CYP2D6 Indeterminate,none
*3x2/*149,,CYP2D6 Indeterminate,none
*3x2/*152,,CYP2D6 Indeterminate,none
*3x2/*153,,CYP2D6 Indeterminate,none
*3x2/*154,,CYP2D6 Indeterminate,none
*3x2/*155,,CYP2D6 Indeterminate,none
*3x2/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*157,,CYP2D6 Indeterminate,none
*3x2/*158,,CYP2D6 Indeterminate,none
*3x2/*159,,CYP2D6 Indeterminate,none
*3x2/*160,,CYP2D6 Indeterminate,none
*3x2/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*3x2/*162,,CYP2D6 Indeterminate,none
*3x2/*163,,CYP2D6 Indeterminate,none
*4/*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*4x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*4x≥3,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*5,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*6,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*6x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*7,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*8,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*9,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*9x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*11,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*12,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*13,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*13+*1,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*13+*1x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*4/*13+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*13+*68x2+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*14,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*15,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*17,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*17x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*18,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*19,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*20,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*21,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*22,,CYP2D6 Indeterminate,none
*4/*23,,CYP2D6 Indeterminate,none
*4/*24,,CYP2D6 Indeterminate,none
*4/*25,,CYP2D6 Indeterminate,none
*4/*26,,CYP2D6 Indeterminate,none
*4/*27,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*27x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*4/*28,,CYP2D6 Indeterminate,none
*4/*28x2,,CYP2D6 Indeterminate,none
*4/*29,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*29x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*30,,CYP2D6 Indeterminate,none
*4/*31,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*32,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*33,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*34,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*35,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*35x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*4/*36,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*36+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*36+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*36x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*36x2+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*36x2+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*37,,CYP2D6 Indeterminate,none
*4/*38,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*39,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*40,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*41,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*41x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*41x3,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*42,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*43,,CYP2D6 Indeterminate,none
*4/*43x2,,CYP2D6 Indeterminate,none
*4/*44,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*45,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*45x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*4/*46,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*47,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*48,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*49,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*50,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*51,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*52,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*53,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*54,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*55,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*56,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*58,,CYP2D6 Indeterminate,none
*4/*59,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*60,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*61,,CYP2D6 Indeterminate,none
*4/*62,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*63,,CYP2D6 Indeterminate,none
*4/*64,,CYP2D6 Indeterminate,none
*4/*65,,CYP2D6 Indeterminate,none
*4/*68,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*68+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*68+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*69,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*70,,CYP2D6 Indeterminate,none
*4/*71,,CYP2D6 Indeterminate,none
*4/*72,,CYP2D6 Indeterminate,none
*4/*73,,CYP2D6 Indeterminate,none
*4/*74,,CYP2D6 Indeterminate,none
*4/*75,,CYP2D6 Indeterminate,none
*4/*81,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*82,,CYP2D6 Indeterminate,none
*4/*83,,CYP2D6 Indeterminate,none
*4/*84,,CYP2D6 Indeterminate,none
*4/*85,,CYP2D6 Indeterminate,none
*4/*86,,CYP2D6 Indeterminate,none
*4/*87,,CYP2D6 Indeterminate,none
*4/*88,,CYP2D6 Indeterminate,none
*4/*89,,CYP2D6 Indeterminate,none
*4/*90,,CYP2D6 Indeterminate,none
*4/*91,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*92,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*93,,CYP2D6 Indeterminate,none
*4/*94,,CYP2D6 Indeterminate,none
*4/*95,,CYP2D6 Indeterminate,none
*4/*96,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*97,,CYP2D6 Indeterminate,none
*4/*98,,CYP2D6 Indeterminate,none
*4/*99,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*100,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*101,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*102,,CYP2D6 Indeterminate,none
*4/*103,,CYP2D6 Indeterminate,none
*4/*104,,CYP2D6 Indeterminate,none
*4/*105,,CYP2D6 Indeterminate,none
*4/*106,,CYP2D6 Indeterminate,none
*4/*107,,CYP2D6 Indeterminate,none
*4/*108,,CYP2D6 Indeterminate,none
*4/*109,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*110,,CYP2D6 Indeterminate,none
*4/*111,,CYP2D6 Indeterminate,none
*4/*112,,CYP2D6 Indeterminate,none
*4/*113,,CYP2D6 Indeterminate,none
*4/*114,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*115,,CYP2D6 Indeterminate,none
*4/*116,,CYP2D6 Indeterminate,none
*4/*117,,CYP2D6 Indeterminate,none
*4/*118,,CYP2D6 Indeterminate,none
*4/*119,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*121,,CYP2D6 Indeterminate,none
*4/*122,,CYP2D6 Indeterminate,none
*4/*123,,CYP2D6 Indeterminate,none
*4/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*125,,CYP2D6 Indeterminate,none
*4/*126,,CYP2D6 Indeterminate,none
*4/*127,,CYP2D6 Indeterminate,none
*4/*128,,CYP2D6 Indeterminate,none
*4/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*130,,CYP2D6 Indeterminate,none
*4/*131,,CYP2D6 Indeterminate,none
*4/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*133,,CYP2D6 Indeterminate,none
*4/*134,,CYP2D6 Indeterminate,none
*4/*135,,CYP2D6 Indeterminate,none
*4/*136,,CYP2D6 Indeterminate,none
*4/*137,,CYP2D6 Indeterminate,none
*4/*138,,CYP2D6 Indeterminate,none
*4/*139,,CYP2D6 Indeterminate,none
*4/*140,,CYP2D6 Indeterminate,none
*4/*141,,CYP2D6 Indeterminate,none
*4/*142,,CYP2D6 Indeterminate,none
*4/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*145,,CYP2D6 Indeterminate,none
*4/*146,,CYP2D6 Indeterminate,none
*4/*146x2,,CYP2D6 Indeterminate,none
*4/*147,,CYP2D6 Indeterminate,none
*4/*148,,CYP2D6 Indeterminate,none
*4/*149,,CYP2D6 Indeterminate,none
*4/*152,,CYP2D6 Indeterminate,none
*4/*153,,CYP2D6 Indeterminate,none
*4/*154,,CYP2D6 Indeterminate,none
*4/*155,,CYP2D6 Indeterminate,none
*4/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*157,,CYP2D6 Indeterminate,none
*4/*158,,CYP2D6 Indeterminate,none
*4/*159,,CYP2D6 Indeterminate,none
*4/*160,,CYP2D6 Indeterminate,none
*4/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*162,,CYP2D6 Indeterminate,none
*4/*163,,CYP2D6 Indeterminate,none
*4x2/*4x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*4x2/*4x≥3,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
